Latitude,Longitude,Elevation
30.53601000,-84.2971800,82.0
30.53598000,-84.2971400,82.0
30.53579000,-84.2971600,80.0
30.53565000,-84.2971500,79.0
30.53508000,-84.2969800,79.0
30.53486000,-84.2969300,78.0
30.53419000,-84.2969300,83.0
30.53384000,-84.2969000,80.0
30.53307000,-84.2968700,79.0
30.53266000,-84.2968700,78.0
30.53240000,-84.2968600,77.0
30.53215000,-84.2968200,77.0
30.53176000,-84.2966700,76.0
30.53120000,-84.2963800,74.0
30.53073000,-84.2961700,72.0
30.53007000,-84.2959600,61.0
30.52953000,-84.2958400,57.0
30.52949000,-84.2957800,58.0
30.52923000,-84.2956700,64.0
30.52923000,-84.2954700,64.0
30.52919000,-84.2953900,65.0
30.52906000,-84.2953200,66.0
30.52888000,-84.2951900,68.0
30.52869000,-84.2949200,68.0
30.52863000,-84.2947900,68.0
30.52861000,-84.2946500,67.0
30.52856000,-84.2945300,66.0
30.52839000,-84.2944800,66.0
30.52826000,-84.2942500,66.0
30.52826000,-84.2940400,65.0
30.52829000,-84.2937800,65.0
30.52828000,-84.2935300,63.0
30.52804000,-84.2932700,63.0
30.52805000,-84.2935000,63.0
30.52812000,-84.2936900,64.0
30.52805000,-84.2939500,65.0
30.52762000,-84.2943200,64.0
30.52726000,-84.2944500,62.0
30.52709000,-84.2945100,60.0
30.52691000,-84.2948100,61.0
30.52673000,-84.2951100,61.0
30.52682000,-84.2956600,65.0
30.52656000,-84.2958000,64.0
30.52618000,-84.2959600,62.0
30.52604000,-84.2959800,62.0
30.52593000,-84.2960900,62.0
30.52573000,-84.2963300,63.0
30.52551000,-84.2964800,65.0
30.52526000,-84.2966700,65.0
30.52525000,-84.2968900,65.0
30.52530000,-84.2971100,66.0
30.52547000,-84.2973700,67.0
30.52550000,-84.2976500,67.0
30.52550000,-84.2982800,64.0
30.52547000,-84.2987900,62.0
30.52548000,-84.2992100,61.0
30.52539000,-84.2994400,61.0
30.52535000,-84.2996400,60.0
30.52504000,-84.2998300,58.0
30.52496000,-84.3001300,58.0
30.52494000,-84.3004500,58.0
30.52503000,-84.3007000,59.0
30.52530000,-84.3009700,60.0
30.52530000,-84.3012500,59.0
30.52515000,-84.3014400,57.0
30.52504000,-84.3016100,56.0
30.52498000,-84.3019900,55.0
30.52503000,-84.3022400,53.0
30.52490000,-84.3026600,50.0
30.52476000,-84.3028200,49.0
30.52464000,-84.3029600,49.0
30.52461000,-84.3031800,47.0
30.52469000,-84.3035800,45.0
30.52493000,-84.3037600,45.0
30.52508000,-84.3041400,45.0
30.52526000,-84.3041100,48.0
30.52556000,-84.3040700,49.0
30.52570000,-84.3040200,49.0
30.52589000,-84.3040300,48.0
30.52628000,-84.3042400,45.0
30.52659000,-84.3043100,45.0
30.52684000,-84.3043300,45.0
30.52718000,-84.3043000,45.0
30.52740000,-84.3042900,44.0
30.52756000,-84.3041100,47.0
30.52776000,-84.3041000,45.0
30.52797000,-84.3040900,44.0
30.52812000,-84.3040400,45.0
30.52818000,-84.3038000,49.0
30.52840000,-84.3036500,52.0
30.52865000,-84.3037200,50.0
30.52884000,-84.3038900,47.0
30.52902000,-84.3039100,46.0
30.52937000,-84.3037700,45.0
30.52953000,-84.3036100,44.0
30.52964000,-84.3034800,45.0
30.52974000,-84.3033200,47.0
30.52974000,-84.3031100,51.0
30.52986000,-84.3030000,51.0
30.53016000,-84.3031300,45.0
30.53024000,-84.3030600,45.0
30.53023000,-84.3029300,47.0
30.53016000,-84.3027200,51.0
30.53005000,-84.3023300,54.0
30.52988000,-84.3021500,54.0
30.52970000,-84.3020200,55.0
30.52957000,-84.3018400,57.0
30.52947000,-84.3015600,59.0
30.52943000,-84.3012700,61.0
30.52930000,-84.3011600,63.0
30.52908000,-84.3012400,63.0
30.52883000,-84.3014400,63.0
30.52865000,-84.3016300,65.0
30.52857000,-84.3019200,65.0
30.52849000,-84.3023300,62.0
30.52842000,-84.3024300,61.0
30.52830000,-84.3024800,61.0
30.52820000,-84.3024500,61.0
30.52808000,-84.3024200,62.0
30.52787000,-84.3024500,61.0
30.52767000,-84.3026400,59.0
30.52741000,-84.3028300,57.0
30.52729000,-84.3029300,57.0
30.52713000,-84.3029300,57.0
30.52690000,-84.3029000,58.0
30.52668000,-84.3028100,58.0
30.52659000,-84.3026600,59.0
30.52648000,-84.3023400,62.0
30.52640000,-84.3020800,63.0
30.52634000,-84.3018200,63.0
30.52651000,-84.3015000,62.0
30.52663000,-84.3013700,61.0
30.52676000,-84.3009800,63.0
30.52692000,-84.3007300,62.0
30.52713000,-84.3003700,63.0
30.52731000,-84.3002000,62.0
30.52746000,-84.2999200,61.0
30.52757000,-84.2995900,62.0
30.52776000,-84.2993500,64.0
30.52789000,-84.2992000,65.0
30.52799000,-84.2990300,65.0
30.52801000,-84.2986500,67.0
30.52797000,-84.2984600,68.0
30.52793000,-84.2981300,67.0
30.52781000,-84.2979000,68.0
30.52773000,-84.2976200,67.0
30.52774000,-84.2973900,67.0
30.52774000,-84.2971200,67.0
30.52779000,-84.2969300,66.0
30.52808000,-84.2967400,67.0
30.52824000,-84.2966400,69.0
30.52852000,-84.2967200,73.0
30.52878000,-84.2966400,74.0
30.52909000,-84.2963700,67.0
